Year,Candidate,Party,State,Votes
,"Hayes, Rutherford",Republican,Nevada,10383
1872,Total,Total,Nevada,14649
,"Greeley, Horace",Liberal Republican/Democratic,Nevada,6236
,"Grant, Ulysses",Republican,Nevada,8413
1868,Total,Total,Nevada,11698
,"Seymour, Horatio",Democratic,Nevada,5218
,"Grant, Ulysses",Republican,Nevada,6480
1864,Total,Total,Nevada,16420
,"McClellan, George",Democratic,Nevada,6594
,"Lincoln, Abraham",National Union (Republican),Nevada,9826
1860,Total,Total,Nevada,
,"Douglas, Stephen",(Northern) Democratic,Nevada,
,"Lincoln, Abraham",Republican,Nevada,
,"Breckinridge, John",Southern Democratic,Nevada,
,"Bell, John",Constitutional Union,Nevada,
1856,Total,Total,Nevada,
,"Buchanan, James",Democratic,Nevada,
,"Fremont, John",Republican,Nevada,
,"Fillmore, Millard","Fillmore, Millard",Nevada,
1852,Total,Total,Nevada,
,"Pierce, Franklin",Democratic,Nevada,
,"Scott, Winfield",Whig,Nevada,
,"Hale, John",Free Soil,Nevada,
1848,Total,Total,Nevada,
,"Cass, Lewis",Democratic,Nevada,
,"Taylor, Zachary",Whig,Nevada,
,"Van Buren, Martin",Free Soil,Nevada,
1844,Total,Total,Nevada,
,"Polk, James",Democratic,Nevada,
,"Clay, Henry",Whig,Nevada,
,"Birney, James",Liberty,Nevada,
1840,Total,Total,Nevada,
,"Van Buren, Martin",Democratic,Nevada,
,"Harrison, William",Whig,Nevada,
1836,Total,Total,Nevada,
,"Van Buren, Martin",Democratic,Nevada,
,"Harrison, William",Whig,Nevada,
,"White, Hugh",Whig,Nevada,
,"Webster, Daniel",Whig,Nevada,
1832,Total,Total,Nevada,
,"Jackson, Andrew",Democratic,Nevada,
,"Clay, Henry",National Republican,Nevada,
,"Wirt, William",Anti-Masonic,Nevada,
1828,Total,Total,Nevada,
,"Jackson, Andrew",Democratic,Nevada,
,"Adams, John Quincy",National Republican,Nevada,
2016,Total,Total,New Hampshire,744296
,"Clinton, Hillary",Democratic,New Hampshire,348526
,"Trump, Donald",Republican,New Hampshire,345790
,"Johnson, Gary",Libertarian,New Hampshire,30777
2012,Total,Total,New Hampshire,710972
,"Obama, Barack",Democratic,New Hampshire,369561
,"Romney, Mitt",Republican,New Hampshire,329918
2008,Total,Total,New Hampshire,710970
,"Obama, Barack",Democratic,New Hampshire,384826
,"McCain, John",Republican,New Hampshire,316534
2004,Total,Total,New Hampshire,677738
,"Kerry, John",Democratic,New Hampshire,340511
,"Bush, George W.",Republican,New Hampshire,331237
2000,Total,Total,New Hampshire,569081
,"Gore, Al",Democratic,New Hampshire,266348
,"Bush, George W.",Republican,New Hampshire,273559
,"Nader, Ralph",Green,New Hampshire,22198
1996,Total,Total,New Hampshire,499175
,"Clinton, Bill",Democratic,New Hampshire,246214
,"Dole, Bob",Republican,New Hampshire,196532
,"Perot, Ross",Reform,New Hampshire,48390
1992,Total,Total,New Hampshire,537945
,"Clinton, Bill",Democratic,New Hampshire,209040
,"Bush, George H.W.",Republican,New Hampshire,202484
,"Perot, Ross",Independent,New Hampshire,121337
1988,Total,Total,New Hampshire,450525
,"Dukakis, Michael",Democratic,New Hampshire,163696
,"Bush, George H.W.",Republican,New Hampshire,281537
1984,Total,Total,New Hampshire,388954
,"Mondale, Walter",Democratic,New Hampshire,120395
,"Reagan, Ronald",Republican,New Hampshire,267051
1980,Total,Total,New Hampshire,383999
,"Carter, Jimmy",Democratic,New Hampshire,108864
,"Reagan, Ronald",Republican,New Hampshire,221705
,"Anderson, John",Independent,New Hampshire,49693
1976,Total,Total,New Hampshire,339618
,"Carter, Jimmy",Democratic,New Hampshire,147635
,"Ford, Gerald",Republican,New Hampshire,185935
1972,Total,Total,New Hampshire,334059
,"McGovern, George",Democratic,New Hampshire,116435
,"Nixon, Richard",Republican,New Hampshire,213724
1968,Total,Total,New Hampshire,297299
,"Humphrey, Hubert",Democratic,New Hampshire,130589
,"Nixon, Richard",Republican,New Hampshire,154903
,"Wallace, George",American Independent,New Hampshire,11173
1964,Total,Total,New Hampshire,288093
,"Johnson, Lyndon (LBJ)",Democratic,New Hampshire,184064
,"Goldwater, Barry",Republican,New Hampshire,104029
1960,Total,Total,New Hampshire,295761
,"Kennedy, Jack (JFK)",Democratic,New Hampshire,137772
,"Nixon, Richard",Republican,New Hampshire,157989
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",New Hampshire,0
1956,Total,Total,New Hampshire,266994
,"Stevenson, Adlai",Democratic,New Hampshire,90364
,"Eisenhower, Dwight",Republican,New Hampshire,176519
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",New Hampshire,111
1952,Total,Total,New Hampshire,272950
,"Stevenson, Adlai",Democratic,New Hampshire,106663
,"Eisenhower, Dwight",Republican,New Hampshire,166287
1948,Total,Total,New Hampshire,231440
,"Truman, Harry",Democratic,New Hampshire,107995
,"Dewey, Thomas",Republican,New Hampshire,121299
,"Thurmond, Strom","States' Rights ""Dixiecrat""",New Hampshire,7
,"Wallace, Henry",Progressive,New Hampshire,1970
1944,Total,Total,New Hampshire,229627
,"Roosevelt, Franklin (FDR)",Democratic,New Hampshire,119663
,"Dewey, Thomas",Republican,New Hampshire,109916
1940,Total,Total,New Hampshire,235419
,"Roosevelt, Franklin (FDR)",Democratic,New Hampshire,125292
,"Wilkie, Wendell",Republican,New Hampshire,110127
1936,Total,Total,New Hampshire,218114
,"Roosevelt, Franklin (FDR)",Democratic,New Hampshire,108460
,"Landon, Alf",Republican,New Hampshire,104642
1932,Total,Total,New Hampshire,205520
,"Roosevelt, Franklin (FDR)",Democratic,New Hampshire,100680
,"Hoover, Herbert",Republican,New Hampshire,103629
,"Thomas, Norman",Socialist,New Hampshire,947
1928,Total,Total,New Hampshire,196757
,"Smith, Al",Democratic,New Hampshire,80715
,"Hoover, Herbert",Republican,New Hampshire,115404
1924,Total,Total,New Hampshire,164769
,"Davis, John",Democratic,New Hampshire,57201
,"Coolidge, Calvin",Republican,New Hampshire,98575
,"LaFollette, Robert",Progressive,New Hampshire,8993
1920,Total,Total,New Hampshire,159092
,"Cox, John",Democratic,New Hampshire,62662
,"Harding, Warren",Republican,New Hampshire,95196
,"Debs, Eugene",Socialist,New Hampshire,1234
1916,Total,Total,New Hampshire,89127
,"Wilson, Woodrow",Democratic,New Hampshire,43781
,"Hughes, Charles",Republican,New Hampshire,43725
,"Benson, Allan",Socialist,New Hampshire,1318
1912,Total,Total,New Hampshire,87961
,"Wilson, Woodrow",Democratic,New Hampshire,34724
,"Taft, William",Republican,New Hampshire,32927
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",New Hampshire,17794
,"Debs, Eugene",Socialist,New Hampshire,1981
1908,Total,Total,New Hampshire,89600
,"Bryan, William",Democratic,New Hampshire,33655
,"Taft, William",Republican,New Hampshire,53149
,"Debs, Eugene",Socialist,New Hampshire,1299
1904,Total,Total,New Hampshire,90161
,"Parker, Alton",Democratic,New Hampshire,34074
,"Roosevelt, Theodore (Teddy)",Republican,New Hampshire,54163
,"Debs, Eugene",Socialist,New Hampshire,1090
1900,Total,Total,New Hampshire,92364
,"Bryan, William",Democratic,New Hampshire,35489
,"McKinley, William",Republican,New Hampshire,54799
1896,Total,Total,New Hampshire,83670
,"Bryan, William",Democratic,New Hampshire,21650
,"McKinley, William",Republican,New Hampshire,57444
1892,Total,Total,New Hampshire,89329
,"Cleveland, Grover",Democratic,New Hampshire,42081
,"Harrison, Benjamin",Republican,New Hampshire,45658
,"Weaver, James",Populist,New Hampshire,293
1888,Total,Total,New Hampshire,90835
,"Cleveland, Grover",Democratic,New Hampshire,43456
,"Harrison, Benjamin",Republican,New Hampshire,45728
1884,Total,Total,New Hampshire,84586
,"Cleveland, Grover",Democratic,New Hampshire,39198
,"Blaine, James",Republican,New Hampshire,43254
1880,Total,Total,New Hampshire,86361
,"Hancock, Winfield",Democratic,New Hampshire,40797
,"Garfield, James",Republican,New Hampshire,44856
,"Weaver, James",Greenback,New Hampshire,528
1876,Total,Total,New Hampshire,80141
,"Tilden, Samuel",Democratic,New Hampshire,38510
,"Hayes, Rutherford",Republican,New Hampshire,41540
1872,Total,Total,New Hampshire,68906
,"Greeley, Horace",Liberal Republican/Democratic,New Hampshire,31425
,"Grant, Ulysses",Republican,New Hampshire,37168
1868,Total,Total,New Hampshire,68304
,"Seymour, Horatio",Democratic,New Hampshire,30575
,"Grant, Ulysses",Republican,New Hampshire,37718
1864,Total,Total,New Hampshire,69630
,"McClellan, George",Democratic,New Hampshire,33034
,"Lincoln, Abraham",National Union (Republican),New Hampshire,36596
1860,Total,Total,New Hampshire,65943
,"Douglas, Stephen",(Northern) Democratic,New Hampshire,25887
,"Lincoln, Abraham",Republican,New Hampshire,37519
,"Breckinridge, John",Southern Democratic,New Hampshire,2125
,"Bell, John",Constitutional Union,New Hampshire,412
1856,Total,Total,New Hampshire,69774
,"Buchanan, James",Democratic,New Hampshire,31891
,"Fremont, John",Republican,New Hampshire,37473
,"Fillmore, Millard","Fillmore, Millard",New Hampshire,410
1852,Total,Total,New Hampshire,50535
,"Pierce, Franklin",Democratic,New Hampshire,28503
,"Scott, Winfield",Whig,New Hampshire,15486
,"Hale, John",Free Soil,New Hampshire,6546
1848,Total,Total,New Hampshire,50104
,"Cass, Lewis",Democratic,New Hampshire,27763
,"Taylor, Zachary",Whig,New Hampshire,14781
,"Van Buren, Martin",Free Soil,New Hampshire,7560
1844,Total,Total,New Hampshire,49187
,"Polk, James",Democratic,New Hampshire,27160
,"Clay, Henry",Whig,New Hampshire,17866
,"Birney, James",Liberty,New Hampshire,4161
1840,Total,Total,New Hampshire,59956
,"Van Buren, Martin",Democratic,New Hampshire,32774
,"Harrison, William",Whig,New Hampshire,26310
1836,Total,Total,New Hampshire,24925
,"Van Buren, Martin",Democratic,New Hampshire,18697
,"Harrison, William",Whig,New Hampshire,6228
,"White, Hugh",Whig,New Hampshire,0
,"Webster, Daniel",Whig,New Hampshire,0
1832,Total,Total,New Hampshire,43793
,"Jackson, Andrew",Democratic,New Hampshire,24855
,"Clay, Henry",National Republican,New Hampshire,18938
,"Wirt, William",Anti-Masonic,New Hampshire,0
1828,Total,Total,New Hampshire,44035
,"Jackson, Andrew",Democratic,New Hampshire,20212
,"Adams, John Quincy",National Republican,New Hampshire,23823
2016,Total,Total,New Jersey,3906723
,"Clinton, Hillary",Democratic,New Jersey,2148278
,"Trump, Donald",Republican,New Jersey,1601933
,"Johnson, Gary",Libertarian,New Jersey,72477
2012,Total,Total,New Jersey,3651140
,"Obama, Barack",Democratic,New Jersey,2126610
,"Romney, Mitt",Republican,New Jersey,1478749
2008,Total,Total,New Jersey,3877407
,"Obama, Barack",Democratic,New Jersey,2215422
,"McCain, John",Republican,New Jersey,1613207
2004,Total,Total,New Jersey,3612137
,"Kerry, John",Democratic,New Jersey,1911430
,"Bush, George W.",Republican,New Jersey,1670003
2000,Total,Total,New Jersey,3187226
,"Gore, Al",Democratic,New Jersey,1788850
,"Bush, George W.",Republican,New Jersey,1284173
,"Nader, Ralph",Green,New Jersey,94554
1996,Total,Total,New Jersey,3075807
,"Clinton, Bill",Democratic,New Jersey,1652329
,"Dole, Bob",Republican,New Jersey,1103078
,"Perot, Ross",Reform,New Jersey,262134
1992,Total,Total,New Jersey,3343594
,"Clinton, Bill",Democratic,New Jersey,1436206
,"Bush, George H.W.",Republican,New Jersey,1356865
,"Perot, Ross",Independent,New Jersey,521829
1988,Total,Total,New Jersey,3099553
,"Dukakis, Michael",Democratic,New Jersey,1320352
,"Bush, George H.W.",Republican,New Jersey,1743192
1984,Total,Total,New Jersey,3217862
,"Mondale, Walter",Democratic,New Jersey,1261323
,"Reagan, Ronald",Republican,New Jersey,1933630
1980,Total,Total,New Jersey,2975684
,"Carter, Jimmy",Democratic,New Jersey,1147364
,"Reagan, Ronald",Republican,New Jersey,1546557
,"Anderson, John",Independent,New Jersey,234632
1976,Total,Total,New Jersey,3014472
,"Carter, Jimmy",Democratic,New Jersey,1444653
,"Ford, Gerald",Republican,New Jersey,1509688
1972,Total,Total,New Jersey,2997229
,"McGovern, George",Democratic,New Jersey,1102211
,"Nixon, Richard",Republican,New Jersey,1845502
1968,Total,Total,New Jersey,2875395
,"Humphrey, Hubert",Democratic,New Jersey,1264206
,"Nixon, Richard",Republican,New Jersey,1325467
,"Wallace, George",American Independent,New Jersey,262187
1964,Total,Total,New Jersey,2846770
,"Johnson, Lyndon (LBJ)",Democratic,New Jersey,1867671
,"Goldwater, Barry",Republican,New Jersey,963843
1960,Total,Total,New Jersey,2773111
,"Kennedy, Jack (JFK)",Democratic,New Jersey,1385415
,"Nixon, Richard",Republican,New Jersey,1363324
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",New Jersey,24372
1956,Total,Total,New Jersey,2484312
,"Stevenson, Adlai",Democratic,New Jersey,850337
,"Eisenhower, Dwight",Republican,New Jersey,1606942
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",New Jersey,27033
1952,Total,Total,New Jersey,2419554
,"Stevenson, Adlai",Democratic,New Jersey,1015902
,"Eisenhower, Dwight",Republican,New Jersey,1374613
1948,Total,Total,New Jersey,1949555
,"Truman, Harry",Democratic,New Jersey,895455
,"Dewey, Thomas",Republican,New Jersey,981124
,"Thurmond, Strom","States' Rights ""Dixiecrat""",New Jersey,0
,"Wallace, Henry",Progressive,New Jersey,42683
1944,Total,Total,New Jersey,1963761
,"Roosevelt, Franklin (FDR)",Democratic,New Jersey,987874
,"Dewey, Thomas",Republican,New Jersey,961335
1940,Total,Total,New Jersey,1972552
,"Roosevelt, Franklin (FDR)",Democratic,New Jersey,1016808
,"Wilkie, Wendell",Republican,New Jersey,945475
1936,Total,Total,New Jersey,1820437
,"Roosevelt, Franklin (FDR)",Democratic,New Jersey,1083850
,"Landon, Alf",Republican,New Jersey,720322
1932,Total,Total,New Jersey,1630063
,"Roosevelt, Franklin (FDR)",Democratic,New Jersey,806630
,"Hoover, Herbert",Republican,New Jersey,775684
,"Thomas, Norman",Socialist,New Jersey,42998
1928,Total,Total,New Jersey,1549381
,"Smith, Al",Democratic,New Jersey,616517
,"Hoover, Herbert",Republican,New Jersey,926050
1924,Total,Total,New Jersey,1086079
,"Davis, John",Democratic,New Jersey,297743
,"Coolidge, Calvin",Republican,New Jersey,675162
,"LaFollette, Robert",Progressive,New Jersey,108901
1920,Total,Total,New Jersey,903943
,"Cox, John",Democratic,New Jersey,256887
,"Harding, Warren",Republican,New Jersey,611541
,"Debs, Eugene",Socialist,New Jersey,27141
1916,Total,Total,New Jersey,494442
,"Wilson, Woodrow",Democratic,New Jersey,211018
,"Hughes, Charles",Republican,New Jersey,268982
,"Benson, Allan",Socialist,New Jersey,10405
1912,Total,Total,New Jersey,432739
,"Wilson, Woodrow",Democratic,New Jersey,178289
,"Taft, William",Republican,New Jersey,88835
,"Roosevelt, Theodore ""Teddy""","Progressive ""Bull Moose""",New Jersey,145410
,"Debs, Eugene",Socialist,New Jersey,15948
1908,Total,Total,New Jersey,467111
,"Bryan, William",Democratic,New Jersey,182522
,"Taft, William",Republican,New Jersey,265298
,"Debs, Eugene",Socialist,New Jersey,10249
1904,Total,Total,New Jersey,432547
,"Parker, Alton",Democratic,New Jersey,164566
,"Roosevelt, Theodore (Teddy)",Republican,New Jersey,245164
,"Debs, Eugene",Socialist,New Jersey,9587
1900,Total,Total,New Jersey,401050
,"Bryan, William",Democratic,New Jersey,164808
,"McKinley, William",Republican,New Jersey,221707
1896,Total,Total,New Jersey,371211
,"Bryan, William",Democratic,New Jersey,133695
,"McKinley, William",Republican,New Jersey,221535
1892,Total,Total,New Jersey,337623
,"Cleveland, Grover",Democratic,New Jersey,171066
,"Harrison, Benjamin",Republican,New Jersey,156101
,"Weaver, James",Populist,New Jersey,985
1888,Total,Total,New Jersey,303801
,"Cleveland, Grover",Democratic,New Jersey,151508
,"Harrison, Benjamin",Republican,New Jersey,144360
1884,Total,Total,New Jersey,260921
,"Cleveland, Grover",Democratic,New Jersey,127798
,"Blaine, James",Republican,New Jersey,123440
1880,Total,Total,New Jersey,245928
,"Hancock, Winfield",Democratic,New Jersey,122565
,"Garfield, James",Republican,New Jersey,120555
,"Weaver, James",Greenback,New Jersey,2617
1876,Total,Total,New Jersey,220193
,"Tilden, Samuel",Democratic,New Jersey,115962
,"Hayes, Rutherford",Republican,New Jersey,103517
1872,Total,Total,New Jersey,168112
,"Greeley, Horace",Liberal Republican/Democratic,New Jersey,76456
,"Grant, Ulysses",Republican,New Jersey,91656
1868,Total,Total,New Jersey,163132
,"Seymour, Horatio",Democratic,New Jersey,83001
,"Grant, Ulysses",Republican,New Jersey,80131
1864,Total,Total,New Jersey,128747
,"McClellan, George",Democratic,New Jersey,68024
,"Lincoln, Abraham",National Union (Republican),New Jersey,60723
1860,Total,Total,New Jersey,121215
,"Douglas, Stephen",(Northern) Democratic,New Jersey,62869
,"Lincoln, Abraham",Republican,New Jersey,58346
,"Breckinridge, John",Southern Democratic,New Jersey,0
,"Bell, John",Constitutional Union,New Jersey,0
1856,Total,Total,New Jersey,99396
,"Buchanan, James",Democratic,New Jersey,46943
,"Fremont, John",Republican,New Jersey,28338
,"Fillmore, Millard","Fillmore, Millard",New Jersey,24115
1852,Total,Total,New Jersey,83220
,"Pierce, Franklin",Democratic,New Jersey,44305
,"Scott, Winfield",Whig,New Jersey,38556
,"Hale, John",Free Soil,New Jersey,359
1848,Total,Total,New Jersey,77735
,"Cass, Lewis",Democratic,New Jersey,36901
,"Taylor, Zachary",Whig,New Jersey,40015
,"Van Buren, Martin",Free Soil,New Jersey,819
1844,Total,Total,New Jersey,75944
,"Polk, James",Democratic,New Jersey,37495
,"Clay, Henry",Whig,New Jersey,38318
,"Birney, James",Liberty,New Jersey,131
1840,Total,Total,New Jersey,64454
,"Van Buren, Martin",Democratic,New Jersey,31034
,"Harrison, William",Whig,New Jersey,33351
1836,Total,Total,New Jersey,51729
,"Van Buren, Martin",Democratic,New Jersey,25592
,"Harrison, William",Whig,New Jersey,26137
,"White, Hugh",Whig,New Jersey,0
,"Webster, Daniel",Whig,New Jersey,0
1832,Total,Total,New Jersey,47760
,"Jackson, Andrew",Democratic,New Jersey,23826
,"Clay, Henry",National Republican,New Jersey,23466
,"Wirt, William",Anti-Masonic,New Jersey,468
1828,Total,Total,New Jersey,45570
,"Jackson, Andrew",Democratic,New Jersey,21809
,"Adams, John Quincy",National Republican,New Jersey,23753
2016,Total,Total,New Mexico,798319
,"Clinton, Hillary",Democratic,New Mexico,385234
,"Trump, Donald",Republican,New Mexico,319667
,"Johnson, Gary",Libertarian,New Mexico,74541
2012,Total,Total,New Mexico,783757
,"Obama, Barack",Democratic,New Mexico,415335
,"Romney, Mitt",Republican,New Mexico,335788
2008,Total,Total,New Mexico,830158
,"Obama, Barack",Democratic,New Mexico,472422
,"McCain, John",Republican,New Mexico,346832
2004,Total,Total,New Mexico,756304
